year,state,deaths,population
2005,New Hampshire,,1298492
2005,New Jersey,23,8651974
2005,New Mexico,,1932274
2005,New York,55,19132610
2005,North Carolina,18,8705407
2005,North Dakota,,646089
2005,Ohio,13,11463320
2005,Oklahoma,22,3548597
2005,Oregon,,3613202
2005,Pennsylvania,16,12449990
2005,South Carolina,16,4270150
2005,South Dakota,,775493
2005,Tennessee,,5991057
2005,Texas,70,22778123
2005,Utah,,2457719
2005,Vermont,,621215
2005,Virginia,14,7577105
2005,Washington,14,6257305
2005,West Virginia,,1820492
2005,Wisconsin,17,5546166
2005,Wyoming,,514157
2006,Alabama,10,4628981
2006,Arizona,,6029141
2006,Arkansas,,2821761
2006,California,122,36021202
2006,Colorado,,4720423
2006,Connecticut,,3517460
2006,Delaware,,859268
2006,District of Columbia,,570681
2006,Florida,45,18166990
2006,Georgia,27,9155813
2006,Hawaii,12,1309731
2006,Idaho,,1468669
2006,Illinois,33,12643955
2006,Indiana,,6332669
2006,Iowa,,2982644
2006,Kansas,,2762931
2006,Kentucky,,4219239
2006,Louisiana,,4302665
2006,Maine,,1323619
2006,Maryland,18,5627367
2006,Massachusetts,,6410084
2006,Michigan,30,10036081
2006,Minnesota,,5163555
2006,Mississippi,15,2904978
2006,Missouri,14,5842704
2006,Montana,,952692
2006,Nebraska,,1772693
2006,Nevada,,2522658
2006,New Hampshire,,1308389
2006,New Jersey,32,8661679
2006,New Mexico,,1962137
2006,New York,68,19104631
2006,North Carolina,,8917270
2006,Ohio,13,11481213
2006,Oklahoma,14,3594090
2006,Oregon,,3670883
2006,Pennsylvania,28,12510809
2006,South Carolina,,4357847
2006,South Dakota,,783033
2006,Tennessee,,6088766
2006,Texas,90,23359580
2006,Utah,10,2525507
2006,Virginia,,7673725
2006,Washington,10,6370753
2006,West Virginia,,1827912
2006,Wisconsin,14,5577655
2006,Wyoming,,522667
2007,Alabama,,4672840
2007,Arizona,,6167681
2007,Arkansas,,2848650
2007,California,97,36250311
2007,Colorado,,4803868
2007,Connecticut,,3527270
2007,Delaware,,871749
2007,District of Columbia,,574404
2007,Florida,52,18367842
2007,Georgia,22,9349988
2007,Hawaii,,1315675
2007,Idaho,,1505105
2007,Illinois,34,12695866
2007,Indiana,,6379599
2007,Iowa,,2999212
2007,Kansas,,2783785
2007,Kentucky,13,4256672
2007,Louisiana,12,4375581
2007,Maryland,20,5653408
2007,Massachusetts,,6431559
2007,Michigan,32,10001284
2007,Minnesota,,5207203
2007,Mississippi,11,2928350
2007,Missouri,11,5887612
2007,Montana,,964706
2007,Nebraska,,1783440
2007,Nevada,,2601072
2007,New Hampshire,,1312540
2007,New Jersey,36,8677885
2007,New Mexico,10,1990070
2007,New York,51,19132335
2007,North Carolina,17,9118037
2007,North Dakota,,652822
2007,Ohio,31,11500468
2007,Oklahoma,13,3634349
2007,Oregon,10,3722417
2007,Pennsylvania,40,12563937
2007,Rhode Island,,1057315
2007,South Carolina,20,4444110
2007,South Dakota,,791623
2007,Tennessee,,6175727
2007,Texas,80,23831983
2007,Utah,11,2597746
2007,Virginia,15,7751000
2007,Washington,13,6461587
2007,West Virginia,,1834052
2007,Wisconsin,15,5610775
2007,Wyoming,,534876
2008,Alabama,,4718206
2008,Arizona,11,6280362
2008,Arkansas,24,2874554
2008,California,102,36604337
2008,Colorado,,4889730
2008,Connecticut,,3545579
2008,Delaware,,883874
2008,District of Columbia,,580236
2008,Florida,36,18527305
2008,Georgia,23,9504843
2008,Hawaii,,1332213
2008,Idaho,,1534320
2008,Illinois,31,12747038
2008,Indiana,14,6424806
2008,Iowa,,3016734
2008,Kansas,13,2808076
2008,Kentucky,12,4289878
2008,Louisiana,,4435586
2008,Maryland,19,5684965
2008,Massachusetts,,6468967
2008,Michigan,30,9946889
2008,Minnesota,,5247018
2008,Mississippi,14,2947806
2008,Missouri,16,5923916
2008,Montana,,976415
2008,Nebraska,,1796378
2008,Nevada,,2653630
2008,New Hampshire,,1315906
2008,New Jersey,28,8711090
2008,New Mexico,13,2010662
2008,New York,73,19212436
2008,North Carolina,13,9309449
2008,North Dakota,,657569
2008,Ohio,27,11515391
2008,Oklahoma,15,3668976
2008,Oregon,,3768748
2008,Pennsylvania,28,12612285
2008,Rhode Island,,1055003
2008,South Carolina,26,4528996
2008,South Dakota,,799124
2008,Tennessee,11,6247411
2008,Texas,96,24309039
2008,Utah,,2663029
2008,Vermont,,624151
2008,Virginia,,7833496
2008,Washington,12,6562231
2008,West Virginia,,1840310
2008,Wisconsin,,5640996
2008,Wyoming,,546043
2009,Alabama,,4757938
2009,Alaska,,698895
2009,Arizona,,6343154
2009,Arkansas,20,2896843
2009,California,107,36961229
2009,Colorado,,4972195
2009,Connecticut,,3561807
2009,Delaware,,891730
2009,District of Columbia,,592228
2009,Florida,71,18652644
2009,Georgia,36,9620846
2009,Hawaii,,1346717
2009,Idaho,,1554439
2009,Illinois,35,12796778
2009,Indiana,16,6459325
2009,Iowa,,3032870
2009,Kansas,13,2832704
2009,Kentucky,,4317074
2009,Louisiana,,4491648
2009,Maine,,1329590
2009,Maryland,18,5730388
2009,Massachusetts,,6517613
2009,Michigan,34,9901591
2009,Minnesota,11,5281203
2009,Mississippi,14,2958774
2009,Missouri,18,5961088
2009,Montana,,983982
2009,Nebraska,,1812683
2009,Nevada,,2684665
2009,New Hampshire,,1316102
2009,New Jersey,37,8755602
2009,New Mexico,,2036802
2009,New York,70,19307066
2009,North Carolina,21,9449566
2009,North Dakota,,664968
2009,Ohio,57,11528896
2009,Oklahoma,28,3717572
2009,Oregon,,3808600
2009,Pennsylvania,39,12666858
2009,Rhode Island,,1053646
2009,South Carolina,23,4589872
2009,South Dakota,,807067
2009,Tennessee,10,6306019
2009,Texas,127,24801761
2009,Utah,,2723421
2009,Vermont,,624817
2009,Virginia,11,7925937
2009,Washington,12,6667426
2009,West Virginia,,1847775
2009,Wisconsin,13,5669264
2009,Wyoming,,559851
2010,Alabama,,4779736
2010,Alaska,,710231
2010,Arizona,17,6392017
2010,Arkansas,13,2915918
2010,California,82,37253956
2010,Colorado,,5029196
2010,Connecticut,,3574097
2010,Delaware,,897934
2010,District of Columbia,,601723
2010,Florida,47,18801310
2010,Georgia,38,9687653
2010,Hawaii,,1360301
2010,Idaho,10,1567582
2010,Illinois,29,12830632
2010,Indiana,14,6483802
2010,Iowa,,3046355
2010,Kansas,11,2853118
2010,Kentucky,17,4339367
2010,Louisiana,,4533372
2010,Maryland,26,5773552
2010,Massachusetts,,6547629
2010,Michigan,47,9883640
2010,Minnesota,,5303925
2010,Mississippi,12,2967297
2010,Missouri,12,5988927
2010,Montana,,989415
2010,Nebraska,,1826341
2010,Nevada,,2700551
2010,New Hampshire,,1316470
2010,New Jersey,30,8791894
2010,New Mexico,,2059179
2010,New York,67,19378102
2010,North Carolina,10,9535483
2010,North Dakota,,672591
2010,Ohio,40,11536504
2010,Oklahoma,20,3751351
2010,Oregon,,3831074
2010,Pennsylvania,34,12702379
2010,Rhode Island,,1052567
2010,South Carolina,18,4625364
2010,South Dakota,,814180
2010,Tennessee,,6346105
2010,Texas,101,25145561
2010,Utah,,2763885
2010,Vermont,,625741
2010,Virginia,,8001024
2010,Washington,11,6724540
2010,West Virginia,,1852994
2010,Wisconsin,12,5686986
2010,Wyoming,,563626
2011,Alabama,,4802740
2011,Alaska,,722718
2011,Arizona,15,6482505
2011,Arkansas,10,2937979
2011,California,71,37691912
2011,Colorado,,5116796
2011,Connecticut,14,3580709
2011,Delaware,,907135
2011,District of Columbia,,617996
2011,Florida,50,19057542
2011,Georgia,48,9815210
2011,Hawaii,,1374810
2011,Idaho,,1584985
2011,Illinois,45,12869257
2011,Indiana,43,6516922
2011,Iowa,,3062309
2011,Kansas,,2871238
2011,Kentucky,11,4369356
2011,Louisiana,,4574836
2011,Maine,,1328188
2011,Maryland,24,5828289
2011,Massachusetts,,6587536
2011,Michigan,33,9876187
2011,Minnesota,13,5344861
2011,Mississippi,18,2978512
2011,Missouri,17,6010688
2011,Montana,,998199
2011,Nebraska,,1842641
2011,Nevada,,2723322
2011,New Hampshire,,1318194
2011,New Jersey,48,8821155
2011,New Mexico,12,2082224
2011,New York,64,19465197
2011,North Carolina,11,9656401
2011,North Dakota,,683932
2011,Ohio,35,11544951
2011,Oklahoma,20,3791508
2011,Oregon,10,3871859
2011,Pennsylvania,23,12742886
2011,Rhode Island,,1051302
2011,South Carolina,19,4679230
2011,South Dakota,,824082
2011,Tennessee,,6403353
2011,Texas,131,25674681
2011,Utah,,2817222
2011,Vermont,,626431
2011,Virginia,18,8096604
2011,Washington,14,6830038
2011,West Virginia,,1855364
2011,Wisconsin,15,5711767
2011,Wyoming,,568158
2012,Alabama,,4822023
2012,Arizona,25,6553255
2012,Arkansas,18,2949131
2012,California,81,38041430
2012,Colorado,,5187582
2012,Connecticut,,3590347
2012,Delaware,,917092
2012,District of Columbia,,632323
2012,Florida,64,19317568
2012,Georgia,40,9919945
2012,Hawaii,,1392313
2012,Idaho,,1595728
2012,Illinois,35,12875255
2012,Indiana,36,6537334
2012,Iowa,,3074186
2012,Kansas,,2885905
2012,Kentucky,,4380415
2012,Louisiana,28,4601893
2012,Maine,,1329192
2012,Maryland,20,5884563
2012,Massachusetts,,6646144
2012,Michigan,29,9883360
2012,Minnesota,15,5379139
2012,Mississippi,15,2984926
2012,Missouri,34,6021988
2012,Montana,,1005141
2012,Nebraska,,1855525
2012,Nevada,,2758931
2012,New Hampshire,,1320718
2012,New Jersey,36,8864590
2012,New Mexico,,2085538
2012,New York,58,19570261
2012,North Carolina,10,9752073
2012,North Dakota,,699628
2012,Ohio,39,11544225
2012,Oklahoma,15,3814820
2012,Oregon,,3899353
2012,Pennsylvania,30,12763536
2012,Rhode Island,,1050292
2012,South Carolina,16,4723723
2012,South Dakota,,833354
2012,Tennessee,40,6456243
2012,Texas,159,26059203
2012,Utah,,2855287
2012,Virginia,14,8185867
2012,Washington,17,6897012
2012,West Virginia,,1855413
2012,Wisconsin,,5726398
2012,Wyoming,,576412
2013,Alabama,,4833722
2013,Alaska,,735132
2013,Arizona,23,6626624
2013,Arkansas,15,2959373
2013,California,77,38332521
2013,Colorado,12,5268367
2013,Connecticut,,3596080
2013,District of Columbia,,646449
2013,Florida,83,19552860
2013,Georgia,82,9992167
2013,Hawaii,,1404054
2013,Idaho,,1612136
2013,Illinois,27,12882135
2013,Indiana,35,6570902
2013,Iowa,,3090416
2013,Kansas,15,2893957
2013,Kentucky,19,4395295
2013,Louisiana,47,4625470
2013,Maine,,1328302
2013,Maryland,15,5928814
2013,Massachusetts,,6692824
2013,Michigan,36,9895622
2013,Minnesota,11,5420380
2013,Mississippi,13,2991207
2013,Missouri,30,6044171
2013,Montana,,1015165
2013,Nebraska,,1868516
2013,Nevada,,2790136
2013,New Hampshire,,1323459
2013,New Jersey,57,8899339
2013,New Mexico,,2085287
2013,New York,63,19651127
2013,North Carolina,15,9848060
2013,North Dakota,,723393
2013,Ohio,30,11570808
2013,Oklahoma,20,3850568
2013,Oregon,12,3930065
2013,Pennsylvania,35,12773801
2013,Rhode Island,,1051511
2013,South Carolina,17,4774839
2013,South Dakota,,844877
2013,Tennessee,28,6495978
2013,Texas,168,26448193
2013,Utah,16,2900872
2013,Vermont,,626630
2013,Virginia,15,8260405
2013,Washington,20,6971406
2013,West Virginia,,1854304
2013,Wisconsin,12,5742713
2014,Alabama,,4849377
2014,Alaska,,736732
2014,Arizona,24,6731484
2014,Arkansas,23,2966369
2014,California,88,38802500
2014,Colorado,16,5355866
2014,Connecticut,,3596677
2014,Delaware,,935614
2014,District of Columbia,,658893
2014,Florida,62,19893297
2014,Georgia,104,10097343
2014,Hawaii,,1419561
2014,Idaho,,1634464
2014,Illinois,32,12880580
2014,Indiana,38,6596855
2014,Iowa,11,3107126
2014,Kansas,,2904021
2014,Kentucky,,4413457
2014,Louisiana,40,4649676
2014,Maine,,1330089
2014,Maryland,22,5976407
2014,Massachusetts,,6745408
2014,Michigan,29,9909877
2014,Minnesota,10,5457173
2014,Mississippi,,2994079
2014,Missouri,34,6063589
2014,Montana,,1023579
2014,Nebraska,,1881503
2014,Nevada,,2839099
2014,New Hampshire,,1326813
2014,New Jersey,55,8938175
2014,New Mexico,,2085572
2014,New York,61,19746227
2014,North Carolina,34,9943964
2014,North Dakota,,739482
2014,Ohio,22,11594163
2014,Oklahoma,13,3878051
2014,Oregon,,3970239
2014,Pennsylvania,35,12787209
2014,Rhode Island,,1055173
2014,South Carolina,24,4832482
2014,South Dakota,,853175
2014,Tennessee,24,6549352
2014,Texas,147,26956958
2014,Utah,12,2942902
2014,Virginia,18,8326289
2014,Washington,20,7061530
2014,West Virginia,,1850326
2014,Wisconsin,16,5757564
2014,Wyoming,,584153
2015,Alabama,12,4858979
2015,Alaska,,738432
2015,Arizona,20,6828065
2015,Arkansas,16,2978204
2015,California,84,39144818
2015,Colorado,10,5456574
2015,Connecticut,,3590886
2015,Delaware,,945934
2015,District of Columbia,,672228
2015,Florida,68,20271272
2015,Georgia,98,10214860
2015,Hawaii,,1431603
2015,Idaho,,1654930
2015,Illinois,40,12859995
2015,Indiana,46,6619680
2015,Iowa,,3123899
2015,Kansas,,2911641
2015,Kentucky,17,4425092
2015,Louisiana,44,4670724
2015,Maine,,1329328
2015,Maryland,16,6006401
2015,Massachusetts,,6794422
2015,Michigan,27,9922576
2015,Minnesota,,5489594
2015,Mississippi,,2992333
2015,Missouri,33,6083672
2015,Montana,,1032949
2015,Nebraska,,1896190
2015,Nevada,,2890845
2015,New Hampshire,,1330608
2015,New Jersey,39,8958013
2015,New Mexico,,2085109
2015,New York,64,19795791
2015,North Carolina,44,10042802
2015,North Dakota,,756927
2015,Ohio,41,11613423
2015,Oklahoma,14,3911338
2015,Oregon,,4028977
2015,Pennsylvania,32,12802503
2015,Rhode Island,,1056298
2015,South Carolina,20,4896146
2015,South Dakota,,858469
2015,Tennessee,29,6600299
2015,Texas,157,27469114
2015,Utah,13,2995919
2015,Vermont,,626042
2015,Virginia,31,8382993
2015,Washington,11,7170351
2015,West Virginia,,1844128
2015,Wisconsin,11,5771337
2015,Wyoming,,586107
2016,Alabama,35,4863300
2016,Alaska,,741894
2016,Arizona,25,6931071
2016,Arkansas,17,2988248
2016,California,91,39250017
2016,Colorado,16,5540545
2016,Connecticut,,3576452
2016,Delaware,,952065
2016,District of Columbia,,681170
2016,Florida,50,20612439
2016,Georgia,73,10310371
2016,Hawaii,,1428557
2016,Idaho,,1683140
2016,Illinois,28,12801539
2016,Indiana,50,6633053
2016,Iowa,12,3134693
2016,Kansas,11,2907289
2016,Kentucky,29,4436974
2016,Louisiana,56,4681666
2016,Maine,,1331479
2016,Maryland,13,6016447
2016,Massachusetts,18,6811779
2016,Michigan,40,9928300
2016,Minnesota,14,5519952
2016,Mississippi,14,2988726
2016,Missouri,27,6093000
2016,Montana,,1042520
2016,Nebraska,,1907116
2016,Nevada,,2940058
2016,New Hampshire,,1334795
2016,New Jersey,43,8944469
2016,New Mexico,,2081015
2016,New York,65,19745289
2016,North Carolina,38,10146788
2016,North Dakota,,757952
2016,Ohio,36,11614373
2016,Oklahoma,20,3923561
2016,Oregon,,4093465
2016,Pennsylvania,41,12784227
2016,Rhode Island,,1056426
2016,South Carolina,28,4961119
2016,South Dakota,,865454
2016,Tennessee,25,6651194
2016,Texas,153,27862596
2016,Utah,,3051217
2016,Vermont,,624594
2016,Virginia,47,8411808
2016,Washington,12,7288000
2016,West Virginia,,1831102
2016,Wisconsin,15,5778708
2016,Wyoming,,585501
2017,Alabama,41,4874747
2017,Alaska,,739795
2017,Arizona,24,7016270
2017,Arkansas,14,3004279
2017,California,90,39536653
2017,Colorado,18,5607154
2017,Connecticut,11,3588184
2017,Delaware,,961939
2017,District of Columbia,,693972
2017,Florida,48,20984400
2017,Georgia,74,10429379
2017,Hawaii,,1427538
2017,Idaho,,1716943
2017,Illinois,39,12802023
2017,Indiana,40,6666818
2017,Iowa,12,3145711
2017,Kansas,10,2913123
2017,Kentucky,18,4454189
2017,Louisiana,41,4684333
2017,Maine,,1335907
2017,Maryland,25,6052177
2017,Massachusetts,14,6859819
2017,Michigan,24,9962311
2017,Minnesota,18,5576606
2017,Mississippi,12,2984100
2017,Missouri,28,6113532
2017,Montana,,1050493
2017,Nebraska,,1920076
2017,Nevada,11,2998039
2017,New Hampshire,,1342795
2017,New Jersey,44,9005644
2017,New Mexico,10,2088070
2017,New York,47,19849399
2017,North Carolina,35,10273419
2017,North Dakota,,755393
2017,Ohio,42,11658609
2017,Oklahoma,22,3930864
2017,Oregon,12,4142776
2017,Pennsylvania,40,12805537
2017,South Carolina,24,5024369
2017,South Dakota,,869666
2017,Tennessee,39,6715984
2017,Texas,147,28304596
2017,Utah,10,3101833
2017,Vermont,,623657
2017,Virginia,40,8470020
2017,Washington,24,7405743
2017,West Virginia,,1815857
2017,Wisconsin,12,5795483
2017,Wyoming,,579315
2018,Alabama,31,4887871
2018,Alaska,,737438
2018,Arizona,24,7171646
2018,Arkansas,23,3013825
2018,California,81,39557045
2018,Colorado,,5695564
2018,Connecticut,,3572665
2018,Delaware,,967171
2018,District of Columbia,,702455
2018,Florida,54,21299325
2018,Georgia,62,10519475
2018,Hawaii,,1420491
2018,Idaho,,1754208
2018,Illinois,22,12741080
2018,Indiana,23,6691878
2018,Iowa,,3156145
2018,Kansas,,2911505
2018,Kentucky,29,4468402
2018,Louisiana,22,4659978
2018,Maine,,1338404
2018,Maryland,17,6042718
2018,Massachusetts,15,6902149
2018,Michigan,32,9995915
2018,Minnesota,10,5611179
2018,Mississippi,15,2986530
2018,Missouri,24,6126452
2018,Montana,,1062305
2018,Nebraska,,1929268
2018,Nevada,,3034392
2018,New Jersey,35,8908520
2018,New Mexico,,2095428
2018,New York,66,19542209
2018,North Carolina,25,10383620
2018,Ohio,27,11689442
2018,Oklahoma,17,3943079
2018,Oregon,,4190713
2018,Pennsylvania,29,12807060
2018,Rhode Island,,1057315
2018,South Carolina,16,5084127
2018,South Dakota,,882235
2018,Tennessee,27,6770010
2018,Texas,94,28701845
2018,Utah,,3161105
2018,Virginia,23,8517685
2018,Washington,21,7535591
2018,West Virginia,10,1805832
2018,Wisconsin,,5813568
2018,Wyoming,,577737
2019,Alabama,35,4903185
2019,Alaska,,731545
2019,Arizona,32,7278717
2019,Arkansas,14,3017804
2019,California,71,39512223
2019,Colorado,15,5758736
2019,Connecticut,,3565287
2019,Delaware,,973764
2019,District of Columbia,,705749
2019,Florida,69,21477737
2019,Georgia,64,10617423
2019,Hawaii,,1415872
2019,Idaho,,1787065
2019,Illinois,20,12671821
2019,Indiana,33,6732219
2019,Iowa,,3155070
2019,Kansas,13,2913314
2019,Kentucky,21,4467673
2019,Louisiana,26,4648794
2019,Maine,,1344212
2019,Maryland,22,6045680
2019,Massachusetts,,6892503
2019,Michigan,34,9986857
2019,Minnesota,11,5639632
2019,Mississippi,22,2976149
2019,Missouri,16,6137428
2019,Montana,,1068778
2019,Nebraska,,1934408
2019,Nevada,,3080156
2019,New Hampshire,,1359711
2019,New Jersey,36,8882190
2019,New Mexico,,2096829
2019,New York,77,19453561
2019,North Carolina,46,10488084
2019,North Dakota,,762062
2019,Ohio,47,11689100
2019,Oklahoma,14,3956971
2019,Oregon,,4217737
2019,Pennsylvania,39,12801989
2019,Rhode Island,,1059361
2019,South Carolina,24,5148714
2019,South Dakota,,884659
2019,Tennessee,30,6829174
2019,Texas,89,28995881
2019,Utah,14,3205958
2019,Vermont,,623989
2019,Virginia,32,8535519
2019,Washington,31,7614893
2019,West Virginia,,1792147
2019,Wisconsin,13,5822434
2019,Wyoming,,578759
2020,Alabama,34,4921532
2020,Arizona,39,7421401
