"vaccine","geography_type","geography","year_season","dimension_type","dimension","coverage_estimate","population_sample_size"
"Seasonal Influenza","HHS Regions/National","Region 2","2019-20","Age",">=85 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2005-06","Education","< High School","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2006-07","Education","< High School","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2007-08","Education","< High School","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2008-09","Education","< High School","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2009-10","Education","< High School","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2005-06","Education","High School","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2007-08","Education","High School","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2008-09","Education","High School","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2006-07","Education","High School","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2005-06","Marital Status","Never Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2009-10","Education","4-Year College","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2005-06","Education","Advanced Degree","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2006-07","Education","Advanced Degree","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2007-08","Education","Advanced Degree","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2008-09","Education","Advanced Degree","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2011-12","Marital Status","Never Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2012-13","Marital Status","Never Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2013-14","Marital Status","Never Married","NA",
"Pneumococcal","HHS Regions/National","Region 2","2006","All Residents",">=18 Years","79.2","356960"
"Pneumococcal","HHS Regions/National","Region 2","2007","All Residents",">=18 Years","82.0","364203"
"Pneumococcal","HHS Regions/National","Region 2","2008","All Residents",">=18 Years","82.8","370614"
"Pneumococcal","HHS Regions/National","Region 2","2018","Race and Ethnicity","Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2019","Race and Ethnicity","Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2010","Race and Ethnicity","Multiple Races, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2009","All Residents",">=18 Years","83.5","374760"
"Pneumococcal","HHS Regions/National","Region 2","2010","All Residents",">=18 Years","83.0","378727"
"Pneumococcal","HHS Regions/National","Region 2","2011","All Residents",">=18 Years","82.3","387244"
"Seasonal Influenza","HHS Regions/National","Region 2","2014-15","Marital Status","Never Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2015-16","Marital Status","Never Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2016-17","Marital Status","Never Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2017-18","Marital Status","Never Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2009-10","Education","High School","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2005-06","Education","Technical or Trade School","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2006-07","Education","Technical or Trade School","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2006-07","Education","Some College","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2007-08","Education","Some College","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2008-09","Education","Technical or Trade School","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2007-08","Education","Technical or Trade School","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2009-10","Education","Technical or Trade School","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2005-06","Education","Some College","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2009-10","Education","Some College","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2008-09","Education","Some College","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2005-06","Education","4-Year College","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2006-07","Education","4-Year College","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2007-08","Education","4-Year College","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2008-09","Education","4-Year College","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2009-10","Education","Advanced Degree","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2010-11","Marital Status","Never Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2006-07","Marital Status","Never Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2007-08","Marital Status","Never Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2008-09","Marital Status","Never Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2009-10","Marital Status","Never Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2019-20","Marital Status","Widowed","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2018-19","Marital Status","Widowed","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2005-06","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2006-07","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2007-08","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2009","Race and Ethnicity","Black, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2008-09","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2010","Race and Ethnicity","Black, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2011","Race and Ethnicity","Black, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2016-17","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2017-18","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2018-19","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2019-20","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2010-11","Race and Ethnicity","Asian, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2011-12","Race and Ethnicity","Asian, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2008","Race and Ethnicity","Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2009","Race and Ethnicity","Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2010","Race and Ethnicity","Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2007","Race and Ethnicity","Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2006","Race and Ethnicity","Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2013-14","Sex","Male","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2014-15","Sex","Male","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2015-16","Sex","Male","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2006-07","Age","25-44 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2007-08","Age","25-44 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2008-09","Age","25-44 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2009-10","Age","25-44 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2011-12","Marital Status","Widowed","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2012-13","Marital Status","Widowed","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2013-14","Marital Status","Widowed","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2016-17","Sex","Male","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2017-18","Sex","Male","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2018-19","Sex","Male","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2019-20","Sex","Male","NA",
"Pneumococcal","HHS Regions/National","Region 2","2007","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2014-15","Marital Status","Widowed","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2015-16","Marital Status","Widowed","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2016-17","Marital Status","Widowed","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2017-18","Marital Status","Widowed","NA",
"Pneumococcal","HHS Regions/National","Region 2","2008","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2009","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2010","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2006","Race and Ethnicity","Black, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2007","Race and Ethnicity","Black, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2008","Race and Ethnicity","Black, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2017","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2018","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2019","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2013-14","Race and Ethnicity","Black, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2014-15","Race and Ethnicity","Black, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2015-16","Race and Ethnicity","Black, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2016-17","Race and Ethnicity","Black, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2017-18","Race and Ethnicity","Black, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2015","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2016","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2012","All Residents",">=18 Years","82.0","389000"
"Pneumococcal","HHS Regions/National","Region 2","2017","Race and Ethnicity","Multiple Races, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2013","All Residents",">=18 Years","82.0","391101"
"Pneumococcal","HHS Regions/National","Region 2","2014","All Residents",">=18 Years","81.0","396137"
"Pneumococcal","HHS Regions/National","Region 2","2015","All Residents",">=18 Years","74.3","395735"
"Pneumococcal","HHS Regions/National","Region 2","2016","All Residents",">=18 Years","72.8","394051"
"Pneumococcal","HHS Regions/National","Region 2","2017","All Residents",">=18 Years","71.8","394086"
"Pneumococcal","HHS Regions/National","Region 2","2018","All Residents",">=18 Years","70.0","393099"
"Pneumococcal","HHS Regions/National","Region 2","2019","Race and Ethnicity","Multiple Races, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2010","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2011","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2018","Race and Ethnicity","Multiple Races, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2005-06","Race and Ethnicity","Black, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2006-07","Race and Ethnicity","Black, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2007-08","Race and Ethnicity","Black, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2008-09","Race and Ethnicity","Black, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2009-10","Race and Ethnicity","Black, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2010-11","Race and Ethnicity","Black, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2012","Race and Ethnicity","Black, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2013","Race and Ethnicity","Black, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2014","Race and Ethnicity","Black, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2015","Race and Ethnicity","Black, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2009-10","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2010-11","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2011-12","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2012-13","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2013-14","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2014-15","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2015-16","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2017","Race and Ethnicity","Black, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2016","Race and Ethnicity","Black, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2018","Race and Ethnicity","Black, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2019","Race and Ethnicity","Black, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2009-10","Marital Status","Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2019-20","Race and Ethnicity","Asian, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2005-06","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2006-07","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2007-08","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2008-09","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2009-10","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2011","Race and Ethnicity","Multiple Races, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2012","Race and Ethnicity","Multiple Races, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2013","Race and Ethnicity","Multiple Races, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2014","Race and Ethnicity","Multiple Races, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2015","Race and Ethnicity","Multiple Races, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2016","Race and Ethnicity","Multiple Races, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2015-16","Race and Ethnicity","Asian, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2016-17","Race and Ethnicity","Asian, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2017-18","Race and Ethnicity","Asian, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2018-19","Race and Ethnicity","Asian, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2015","Race and Ethnicity","Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2016","Race and Ethnicity","Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2017","Race and Ethnicity","Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2012-13","Race and Ethnicity","Asian, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2013-14","Race and Ethnicity","Asian, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2014-15","Race and Ethnicity","Asian, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2011","Race and Ethnicity","Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2012","Race and Ethnicity","Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2013","Race and Ethnicity","Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2014","Race and Ethnicity","Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2012","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2013","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2011-12","Race and Ethnicity","Black, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2019","All Residents",">=18 Years","68.5","391130"
"Seasonal Influenza","HHS Regions/National","Region 2","2012-13","Race and Ethnicity","Black, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2009","Age","18-24 Years","NA",
"Pneumococcal","HHS Regions/National","Region 2","2010","Age","18-24 Years","NA",
"Pneumococcal","HHS Regions/National","Region 2","2020","All Residents",">=18 Years","66.2","338870"
"Pneumococcal","HHS Regions/National","Region 2","2006","Age","18-24 Years","NA",
"Pneumococcal","HHS Regions/National","Region 2","2007","Age","18-24 Years","NA",
"Pneumococcal","HHS Regions/National","Region 2","2008","Age","18-24 Years","NA",
"Pneumococcal","HHS Regions/National","Region 2","2014","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","NA",
