"reporting_area","mmwr_year","mmwr_week","gonorrhea_current_week","gonorrhea_current_week_flag","gonorrhea_previous_52_weeks_max","gonorrhea_previous_52_weeks_max_flag","gonorrhea_cum_2019","gonorrhea_cum_2019_flag","gonorrhea_cum_2018","gonorrhea_cum_2018_flag","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_current_week","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_current_week_flag","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_previous_52_weeks_max","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_previous_52_weeks_max_flag","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_cum_2019","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_cum_2019_flag","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_cum_2018","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_cum_2018_flag","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_current_week","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_current_week_flag","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_previous_52_weeks_max","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_previous_52_weeks_max_flag","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_cum_2019","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_cum_2019_flag","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_cum_2018","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_cum_2018_flag","location_1","location_2"
"UTAH","2019","1","23",,"81",,"23",,"51",,"2",,"3",,"2",,"3",,,"-","0",,,"-",,"-","
, UTAH 
(39.359772, -111.584173)",
"MARYLAND","2019","1","4",,"262",,"4",,"262",,,"-","9",,,"-","7",,,"-","0",,,"-",,"-","
, MARYLAND 
(39.290443, -76.612333)",
"NEBRASKA","2019","1",,"-","106",,,"-","38",,,"-","3",,,"-",,"-",,"-","1",,,"-",,"-","
, NEBRASKA 
(41.640503, -99.367122)",
"TEXAS","2019","1",,"-","1575",,,"-","933",,,"-","26",,,"-","1",,,"-","1",,,"-",,"-","
, TEXAS 
(31.827233, -99.423022)",
"KENTUCKY","2019","1",,"-","215",,,"-","16",,,"-","7",,,"-","4",,,"-","1",,,"-",,"-","
, KENTUCKY 
(37.64591, -84.774043)",
"ALASKA","2019","1",,"-","58",,,"-","51",,,"-","2",,,"-",,"-",,"-","0",,,"-",,"-","
, ALASKA 
(64.836661, -147.738891)",
"VERMONT","2019","1",,"-","10",,,"-",,"-",,"-","3",,,"-","2",,,"-","0",,,"-",,"-","
, VERMONT 
(43.622479, -72.51927)",
"WYOMING","2019","1",,"-","11",,,"-","10",,,"-","1",,,"-",,"-",,"-","0",,,"-",,"-","
, WYOMING 
(43.23558, -108.110518)",
"MASSACHUSETTS","2019","1",,"-","202",,,"-","104",,,"-","7",,,"-","6",,,"-","1",,,"-",,"-","
, MASSACHUSETTS 
(42.268546, -72.085064)",
"OHIO","2019","1","187",,"591",,"187",,"391",,"11",,"13",,"11",,"7",,,"-","1",,,"-",,"-","
, OHIO 
(40.056807, -82.405897)",
"NEW YORK","2019","1","45",,"287",,"45",,"58",,,"-","9",,,"-",,"-",,"-","1",,,"-",,"-","
, NEW YORK 
(42.826892, -75.544286)",
"ARKANSAS","2019","1",,"-","165",,,"-","161",,,"-","5",,,"-",,"-",,"-","0",,,"-",,"-","
, ARKANSAS 
(34.748745, -92.275105)",
"NORTHERN MARIANA ISLANDS","2019","1",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-","
, NORTHERN MARIANA ISLANDS 
(15.1834, 145.725693)",
"NORTH DAKOTA","2019","1","2",,"38",,"2",,"14",,,"-","2",,,"-",,"-",,"-","0",,,"-",,"-","
, NORTH DAKOTA 
(47.475879, -100.121011)",
"TENNESSEE","2019","1","58",,"348",,"58",,"179",,,"-","11",,,"-","8",,,"-","0",,,"-",,"-","
, TENNESSEE 
(35.681402, -85.774444)",
"NEW JERSEY","2019","1","38",,"217",,"38",,"124",,,"-","10",,,"-","6",,,"-","0",,,"-",,"-","
, NEW JERSEY 
(40.104655, -74.386686)",
"OKLAHOMA","2019","1","14",,"182",,"14",,"121",,"2",,"8",,"2",,,"-",,"-","0",,,"-",,"-","
, OKLAHOMA 
(35.468494, -97.521264)",
"NEW MEXICO","2019","1","2",,"136",,"2",,"96",,,"-","4",,,"-",,"-",,"-","1",,,"-",,"-","
, NEW MEXICO 
(34.520396, -106.244402)",
"ALABAMA","2019","1",,"-","386",,,"-","193",,,"-","7",,,"-","1",,,"-","0",,,"-",,"-","
, ALABAMA 
(32.839182, -86.631125)",
"KANSAS","2019","1","31",,"131",,"31",,"87",,,"-","2",,,"-","1",,,"-","0",,,"-",,"-","
, KANSAS 
(38.345528, -98.201847)",
"MAINE","2019","1",,"-","25",,,"-","16",,,"-","2",,,"-","1",,,"-","0",,,"-",,"-","
, MAINE 
(45.252223, -68.986647)",
"MINNESOTA","2019","1",,"-","191",,,"-","131",,,"-","3",,,"-",,"-",,"-","0",,,"-",,"-","
, MINNESOTA 
(46.357661, -94.793397)",
"MISSISSIPPI","2019","1","11",,"225",,"11",,"219",,,"-","5",,,"-","1",,,"-","0",,,"-",,"-","
, MISSISSIPPI 
(32.738663, -89.537312)",
"OREGON","2019","1","94",,"149",,"94",,"101",,,"-","7",,,"-","2",,,"-","0",,,"-",,"-","
, OREGON 
(44.567912, -120.156945)",
"ARIZONA","2019","1","22",,"299",,"22",,"258",,"4",,"7",,"4",,"3",,,"-","1",,,"-",,"-","
, ARIZONA 
(34.869712, -111.760902)",
"SOUTH DAKOTA","2019","1","1",,"50",,"1",,"27",,,"-","2",,,"-",,"-",,"-","0",,,"-",,"-","
, SOUTH DAKOTA 
(44.35371, -100.373709)",
"PENNSYLVANIA","2019","1","196",,"367",,"196",,"226",,"8",,"12",,"8",,"7",,,"-","0",,,"-",,"-","
, PENNSYLVANIA 
(40.789676, -77.858055)",
"CALIFORNIA","2019","1","106",,"1743",,"106",,"1391",,,"-","4",,,"-","4",,,"-","0",,,"-",,"-","
, CALIFORNIA 
(37.640735, -121.002435)",
"INDIANA","2019","1",,"-","309",,,"-","201",,,"-","7",,,"-","4",,,"-","2",,,"-",,"-","
, INDIANA 
(39.76845, -86.156212)",
"NEW HAMPSHIRE","2019","1",,"-","24",,,"-","8",,,"-","3",,,"-","2",,,"-","1",,,"-","1",,"
, NEW HAMPSHIRE 
(43.657736, -71.500736)",
"HAWAII","2019","1",,"-","67",,,"-","54",,,"-","4",,,"-",,"-",,"-","0",,,"-",,"-","
, HAWAII 
(21.30992, -157.858158)",
"DISTRICT OF COLUMBIA","2019","1",,"-","109",,,"-","29",,,"-","3",,,"-","1",,,"-","0",,,"-",,"-","
, DISTRICT OF COLUMBIA 
(38.892062, -77.019912)",
"RHODE ISLAND","2019","1",,"-","53",,,"-","2",,,"-","4",,,"-",,"-",,"-","1",,,"-",,"-","
, RHODE ISLAND 
(41.707447, -71.522488)",
"CONNECTICUT","2019","1",,"U",,"NC",,"U",,"U",,"-","5",,,"-","1",,,"-","0",,,"-",,"-","
, CONNECTICUT 
(41.544654, -72.651713)",
"WEST VIRGINIA","2019","1",,"-","43",,,"-","19",,,"-","4",,,"-",,"-",,"-","1",,,"-",,"-","
, WEST VIRGINIA 
(38.668501, -80.709421)",
"DELAWARE","2019","1",,"-","79",,,"-",,"-",,"-","3",,,"-","1",,,"-","0",,,"-",,"-","
, DELAWARE 
(39.008676, -75.574561)",
"COLORADO","2019","1","139",,"270",,"139",,"193",,"4",,"5",,"4",,"4",,,"-","1",,,"-",,"-","
, COLORADO 
(38.841772, -106.132562)",
"WASHINGTON","2019","1","112",,"230",,"112",,"100",,,"-","2",,,"-",,"-",,"-","1",,,"-",,"-","
, WASHINGTON 
(47.517368, -120.467672)",
"SOUTH CAROLINA","2019","1",,"-","462",,,"-","222",,,"-","6",,,"-","4",,,"-","0",,,"-",,"-","
, SOUTH CAROLINA 
(34.009286, -81.037094)",
"IDAHO","2019","1",,"-","44",,,"-","16",,,"-","2",,,"-","2",,,"-","0",,,"-",,"-","
, IDAHO 
(43.680635, -114.364237)",
"VIRGINIA","2019","1","179",,"430",,"179",,"154",,,"-","6",,,"-",,"-",,"-","0",,,"-",,"-","
, VIRGINIA 
(37.542699, -78.45822)",
"NORTH CAROLINA","2019","1","1",,"503",,"1",,"411",,,"-","7",,,"-","6",,,"-","1",,,"-",,"-","
, NORTH CAROLINA 
(35.47995, -79.180571)",
"US RESIDENTS","2019","2","3392",,"12587",,"7504",,"20496",,"65",,"156",,"123",,"285",,,"-","3",,,"-","1",,,
"NEW ENGLAND","2019","2","3",,"263",,"15",,"352",,,"-","12",,,"-","20",,,"-","1",,,"-","1",,,
"MIDDDLE ATLANTIC","2019","2","841",,"1638",,"1380",,"2170",,"14",,"27",,"24",,"26",,,"-","1",,,"-",,"-",,
"NEW YORK CITY","2019","2","386",,"687",,"511",,"846",,"3",,"8",,"5",,"4",,,"-","0",,,"-",,"-",,
"EAST NORTH CENTRAL","2019","2","664",,"1947",,"1435",,"2971",,"14",,"26",,"29",,"54",,,"-","2",,,"-",,"-",,
"WEST NORTH CENTRAL","2019","2","300",,"912",,"703",,"1438",,"3",,"13",,"7",,"22",,,"-","1",,,"-",,"-",,
"SOUTH ATLANTIC","2019","2","683",,"2531",,"1074",,"3947",,"13",,"40",,"22",,"65",,,"-","1",,,"-",,"-",,
"EAST SOUTH CENTRAL","2019","2","135",,"1007",,"321",,"1412",,"4",,"22",,"5",,"34",,,"-","1",,,"-",,"-",,
"WEST SOUTH CENTRAL","2019","2","29",,"2117",,"92",,"2976",,"5",,"34",,"7",,"19",,,"-","1",,,"-",,"-",,
"IOWA","2019","2","1",,"119",,"58",,"186",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, IOWA 
(42.46942, -93.815856)",
"MOUNTAIN","2019","2","236",,"889",,"602",,"1493",,"9",,"16",,"24",,"30",,,"-","1",,,"-",,"-",,
"PACIFIC","2019","2","501",,"2095",,"1882",,"3737",,"3",,"9",,"5",,"15",,,"-","1",,,"-",,"-",,
"US TERRITORIES","2019","2",,"-","19",,,"-","9",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,
"AMERICAN SAMOA","2019","2",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,
"NON-US RESIDENTS","2019","2",,"-",,"NC",,"-",,"NP",,"-",,"NC",,"-",,"NP",,"-",,"NC",,"-",,"NP",,
"TOTAL","2019","2","3392",,"12601",,"7504",,"20505",,"65",,"156",,"123",,"285",,,"-","3",,,"-","1",,,
"ARKANSAS","2019","2",,"-","165",,,"-","303",,"2",,"7",,"2",,"1",,,"-","0",,,"-",,"-","
, ARKANSAS 
(34.748745, -92.275105)",
"ILLINOIS","2019","2","33",,"558",,"130",,"924",,,"-","11",,"2",,"12",,,"-","2",,,"-",,"-","
, ILLINOIS 
(40.477092, -88.993221)",
"NEW HAMPSHIRE","2019","2","3",,"24",,"13",,"14",,,"-","3",,,"-","4",,,"-","0",,,"-","1",,"
, NEW HAMPSHIRE 
(43.657736, -71.500736)",
"OKLAHOMA","2019","2","29",,"182",,"92",,"275",,"2",,"8",,"4",,"3",,,"-","0",,,"-",,"-","
, OKLAHOMA 
(35.468494, -97.521264)",
"ALABAMA","2019","2",,"-","386",,,"-","439",,,"-","7",,,"-","5",,,"-","0",,,"-",,"-","
, ALABAMA 
(32.839182, -86.631125)",
"MISSOURI","2019","2","235",,"393",,"487",,"601",,"2",,"10",,"5",,"18",,,"-","0",,,"-",,"-","
, MISSOURI 
(38.636168, -92.566292)",
"OREGON","2019","2","134",,"149",,"228",,"230",,"3",,"7",,"5",,"5",,,"-","0",,,"-",,"-","
, OREGON 
(44.567912, -120.156945)",
"GEORGIA","2019","2",,"-","478",,,"-","646",,"1",,"10",,"6",,"9",,,"-","0",,,"-",,"-","
, GEORGIA 
(32.836038, -83.631709)",
"COLORADO","2019","2","161",,"270",,"299",,"370",,"5",,"5",,"9",,"8",,,"-","1",,,"-",,"-","
, COLORADO 
(38.841772, -106.132562)",
"NEW MEXICO","2019","2","4",,"136",,"28",,"202",,,"-","4",,"3",,"2",,,"-","1",,,"-",,"-","
, NEW MEXICO 
(34.520396, -106.244402)",
"NEVADA","2019","2",,"-","155",,,"-","229",,,"-","5",,,"-","1",,,"-","0",,,"-",,"-","
, NEVADA 
(39.491833, -117.070159)",
"CALIFORNIA","2019","2","193",,"1757",,"1368",,"3047",,,"-","3",,,"-","4",,,"-","0",,,"-",,"-","
, CALIFORNIA 
(37.640735, -121.002435)",
"IDAHO","2019","2",,"-","44",,,"-","36",,,"-","2",,,"-","2",,,"-","0",,,"-",,"-","
, IDAHO 
(43.680635, -114.364237)",
"INDIANA","2019","2",,"-","309",,,"-","416",,,"-","7",,,"-","6",,,"-","2",,,"-",,"-","
, INDIANA 
(39.76845, -86.156212)",
"NORTH DAKOTA","2019","2","5",,"38",,"13",,"31",,,"-","2",,"1",,"1",,,"-","0",,,"-",,"-","
, NORTH DAKOTA 
(47.475879, -100.121011)",
"ALASKA","2019","2",,"-","58",,,"-","86",,,"-","2",,,"-","2",,,"-","0",,,"-",,"-","
, ALASKA 
(64.836661, -147.738891)",
"PUERTO RICO","2019","2",,"-","18",,,"-","8",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, PUERTO RICO 
(18.215692, -66.414655)",
"WASHINGTON","2019","2","174",,"230",,"286",,"273",,,"-","2",,,"-",,"-",,"-","1",,,"-",,"-","
, WASHINGTON 
(47.517368, -120.467672)",
"HAWAII","2019","2",,"-","67",,,"-","101",,,"-","4",,,"-","4",,,"-","0",,,"-",,"-","
, HAWAII 
(21.30992, -157.858158)",
"MISSISSIPPI","2019","2","7",,"225",,"135",,"417",,"4",,"5",,"5",,"6",,,"-","0",,,"-",,"-","
, MISSISSIPPI 
(32.738663, -89.537312)",
"GUAM","2019","2",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, GUAM 
(13.3532, 144.653198)",
"DELAWARE","2019","2",,"-","79",,,"-","34",,,"-","3",,,"-","2",,,"-","0",,,"-",,"-","
, DELAWARE 
(39.008676, -75.574561)",
"MASSACHUSETTS","2019","2",,"-","202",,,"-","306",,,"-","7",,,"-","8",,,"-","1",,,"-",,"-","
, MASSACHUSETTS 
(42.268546, -72.085064)",
"KENTUCKY","2019","2",,"-","215",,,"-","123",,,"-","7",,,"-","4",,,"-","1",,,"-",,"-","
, KENTUCKY 
(37.64591, -84.774043)",
"MINNESOTA","2019","2",,"-","191",,,"-","279",,,"-","3",,,"-",,"-",,"-","0",,,"-",,"-","
, MINNESOTA 
(46.357661, -94.793397)",
"RHODE ISLAND","2019","2",,"-","68",,"2",,"4",,,"-","4",,,"-",,"-",,"-","1",,,"-",,"-","
, RHODE ISLAND 
(41.707447, -71.522488)",
"VERMONT","2019","2",,"-","10",,,"-",,"-",,"-","3",,,"-","2",,,"-","0",,,"-",,"-","
, VERMONT 
(43.622479, -72.51927)",
"TENNESSEE","2019","2","128",,"361",,"186",,"433",,,"-","11",,,"-","19",,,"-","0",,,"-",,"-","
, TENNESSEE 
(35.681402, -85.774444)",
"FLORIDA","2019","2","378",,"759",,"546",,"911",,"8",,"14",,"12",,"13",,,"-","0",,,"-",,"-","
, FLORIDA 
(28.915325, -81.922409)",
"SOUTH DAKOTA","2019","2","2",,"50",,"8",,"60",,"1",,"2",,"1",,"2",,,"-","0",,,"-",,"-","
, SOUTH DAKOTA 
(44.35371, -100.373709)",
"PENNSYLVANIA","2019","2","201",,"552",,"441",,"731",,"7",,"12",,"15",,"14",,,"-","0",,,"-",,"-","
, PENNSYLVANIA 
(40.789676, -77.858055)",
"CONNECTICUT","2019","2",,"U",,"NC",,"U",,"U",,"-","5",,,"-","3",,,"-","0",,,"-",,"-","
, CONNECTICUT 
(41.544654, -72.651713)",
"TEXAS","2019","2",,"-","1575",,,"-","1995",,"1",,"26",,"1",,"12",,,"-","1",,,"-",,"-","
, TEXAS 
(31.827233, -99.423022)",
"MONTANA","2019","2","18",,"36",,"35",,"21",,,"-","2",,,"-","2",,,"-","1",,,"-",,"-","
, MONTANA 
(47.062617, -109.430168)",
"NEW JERSEY","2019","2","86",,"217",,"215",,"311",,,"-","10",,,"-","8",,,"-","0",,,"-",,"-","
, NEW JERSEY 
(40.104655, -74.386686)",
"UTAH","2019","2","41",,"81",,"82",,"107",,"1",,"3",,"4",,"5",,,"-","0",,,"-",,"-","
, UTAH 
(39.359772, -111.584173)",
"WEST VIRGINIA","2019","2",,"-","43",,,"-","37",,,"-","4",,,"-","2",,,"-","1",,,"-",,"-","
, WEST VIRGINIA 
(38.668501, -80.709421)",
"NORTHERN MARIANA ISLANDS","2019","2",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, NORTHERN MARIANA ISLANDS 
(15.1834, 145.725693)",
"ARIZONA","2019","2","12",,"299",,"158",,"507",,"3",,"7",,"8",,"10",,,"-","1",,,"-",,"-","
, ARIZONA 
(34.869712, -111.760902)",
"MARYLAND","2019","2","10",,"241",,"52",,"476",,"4",,"9",,"4",,"12",,,"-","0",,,"-",,"-","
, MARYLAND 
(39.290443, -76.612333)",
"OHIO","2019","2","302",,"591",,"662",,"831",,"14",,"13",,"25",,"20",,,"-","1",,,"-",,"-","
, OHIO 
(40.056807, -82.405897)",
"KANSAS","2019","2","57",,"131",,"137",,"184",,,"-","2",,,"-","1",,,"-","0",,,"-",,"-","
, KANSAS 
(38.345528, -98.201847)",
"VIRGINIA","2019","2","293",,"430",,"472",,"339",,,"-","6",,,"-","4",,,"-","0",,,"-",,"-","
, VIRGINIA 
(37.542699, -78.45822)",
"WISCONSIN","2019","2","148",,"208",,"274",,"286",,,"-","4",,"1",,"5",,,"-","1",,,"-",,"-","
, WISCONSIN 
(44.395526, -89.834513)",
"SOUTH CAROLINA","2019","2",,"-","462",,,"-","485",,,"-","6",,,"-","9",,,"-","0",,,"-",,"-","
, SOUTH CAROLINA 
(34.009286, -81.037094)",
"DISTRICT OF COLUMBIA","2019","2",,"-","109",,,"-","138",,,"-","3",,,"-","1",,,"-","0",,,"-",,"-","
, DISTRICT OF COLUMBIA 
(38.892062, -77.019912)",
"MICHIGAN","2019","2","181",,"435",,"369",,"514",,,"-","8",,"1",,"11",,,"-","1",,,"-",,"-","
, MICHIGAN 
(44.66399, -84.711206)",
"U.S. VIRGIN ISLANDS","2019","2",,"-","4",,,"-","1",,,"N",,"NC",,"N",,"N",,"-","0",,,"-",,"-","
, VIRGIN ISLANDS 
(18.060868, -64.840836)",
"NORTH CAROLINA","2019","2","2",,"504",,"4",,"881",,,"-","7",,,"-","13",,,"-","1",,,"-",,"-","
, NORTH CAROLINA 
(35.47995, -79.180571)",
"MAINE","2019","2",,"-","25",,,"-","28",,,"-","3",,,"-","3",,,"-","0",,,"-",,"-","
, MAINE 
(45.252223, -68.986647)",
"LOUISIANA","2019","2",,"-","285",,,"-","403",,,"-","5",,,"-","3",,,"-","0",,,"-",,"-","
, LOUISIANA 
(31.2931, -92.463284)",
"NEBRASKA","2019","2",,"-","106",,,"-","97",,,"-","3",,,"-",,"-",,"-","1",,,"-",,"-","
, NEBRASKA 
(41.640503, -99.367122)",
"WYOMING","2019","2",,"-","11",,,"-","21",,,"-","1",,,"-",,"-",,"-","0",,,"-",,"-","
, WYOMING 
(43.23558, -108.110518)",
"NEW YORK","2019","2","168",,"351",,"213",,"282",,"4",,"11",,"4",,,"-",,"-","1",,,"-",,"-","
, NEW YORK 
(42.826892, -75.544286)",
"US RESIDENTS","2019","3","3423",,"12125",,"14622",,"30221",,"43",,"149",,"204",,"435",,,"-","3",,,"-","1",,,"
, US RESIDENTS "
"NEW ENGLAND","2019","3","1",,"263",,"29",,"540",,,"-","12",,,"-","25",,,"-","1",,,"-","1",,,"
, NEW ENGLAND "
"MIDDDLE ATLANTIC","2019","3","819",,"1639",,"2505",,"3414",,"11",,"27",,"38",,"49",,,"-","1",,,"-",,"-",,"
, MIDDDLE ATLANTIC "
"NEW YORK CITY","2019","3","332",,"689",,"946",,"1282",,"2",,"8",,"7",,"5",,,"-","0",,,"-",,"-",,"
, NEW YORK CITY "
"EAST NORTH CENTRAL","2019","3","556",,"1957",,"2441",,"4548",,"5",,"26",,"40",,"79",,,"-","2",,,"-",,"-",,"
, EAST NORTH CENTRAL "
"WEST NORTH CENTRAL","2019","3","330",,"908",,"1339",,"2144",,"2",,"10",,"11",,"32",,,"-","1",,,"-",,"-",,"
, WEST NORTH CENTRAL "
"SOUTH ATLANTIC","2019","3","701",,"2531",,"1933",,"5833",,"12",,"40",,"50",,"105",,,"-","1",,,"-",,"-",,"
, SOUTH ATLANTIC "
"EAST SOUTH CENTRAL","2019","3","154",,"1007",,"724",,"2026",,,"-","22",,"8",,"56",,,"-","1",,,"-",,"-",,"
, EAST SOUTH CENTRAL "
"WEST SOUTH CENTRAL","2019","3","176",,"1605",,"716",,"3978",,"10",,"40",,"20",,"29",,,"-","1",,,"-",,"-",,"
, WEST SOUTH CENTRAL "
"MOUNTAIN","2019","3","192",,"889",,"1057",,"2151",,"3",,"16",,"31",,"41",,,"-","1",,,"-",,"-",,"
, MOUNTAIN "
