name,county,city,state,zip,phone,website,facebook,twitter,has_email,address
Carlisle County Center,Carlisle,Bardwell,KY,42023,(270) 628-5431,,,,True,"62 John Roberts Drive Bardwell, KY 42023"
Carroll County Center,Carroll,Carrollton,KY,41008,(502) 732-6641,https://trdhd.com/our-locations/,,,True,"401 11th Street Carrollton, KY 41008"
Carter County Health Department,Carter,Grayson,KY,41143,(606) 474-5100,,,,True,"300 W Main St Grayson, KY 41143"
Casey County Center,Casey,Liberty,KY,42539,(606) 787-6911,https://www.lcdhd.org/locations/casey-county/,,,True,"199 Adams Street Liberty, KY 42539"
Christian County Health Department,Christian,Hopkinsville,KY,42240,(270) 887-4160,http://www.christiancountyhd.com,https://www.facebook.com/christiancountyhd/,,True,"PO Box 647 Hopkinsville, KY 42240"
Clark County Health Department,Clark,Winchester,KY,40391,(859) 744-4482,http://www.cchdky.org,https://www.facebook.com/Clark-County-Health-Department-152329718138106/,,True,"400 Professional Ave Winchester, KY 40391"
Clay County Center,Clay,Manchester,KY,40962,(606) 598-2425,,,,True,"330 Shamrock Rd Manchester, KY 40962-9201"
Clinton County Center,Clinton,Albany,KY,42602,(606) 387-5711,https://www.lcdhd.org/locations/clinton-county/,,,True,"131 Foothills Avenue Albany, KY 42602"
Crittenden County Health Department,Crittenden,Marion,KY,42064,(270) 965-5215,https://pennyrilehealth.org/locations/,,,True,"190 Industrial Dr. Marion, KY 42064"
Cumberland County Center,Cumberland,Burkesville,KY,42717,(270) 864-2206,https://www.lcdhd.org/locations/cumberland-county/,,,True,"226 Copper Lane Burkesville, KY 42717"
Cumberland Valley District Health Department,Cumberland Valley,Manchester,KY,40962,(606) 598-5564,http://www.cvdhealthdept.com,https://www.facebook.com/cvdhealthdept,,True,"PO Box 158 Manchester, KY 40962"
Daviess County Health Department,Daviess,Owensboro,KY,42303,(270) 686-7744,https://healthdepartment.org/location/daviess-county-community-health-center/,,,True,"1600 Breckenridge St Owensboro, KY 42303-1055"
Edmonson County Health Department,Edmonson,Brownsville,KY,42210,(270) 597-2194,https://www.barrenriverhealth.org/contact-us,,,True,"221 Mammoth Cave Rd Brownsville, KY 42210-9040"
Elliott County Center,Elliott,Hook,KY,41171,(606) 738-5205,,,,True,"109 David Blair Blvd Sandy Hook, KY 41171"
Estill County Health Department,Estill,Irvine,KY,40336,(606) 723-5181,https://estillcohd.com/,https://www.facebook.com/pages/category/Government-Organization/Estill-County-Health-Department-100871557173713/,,True,"365 River Dr Irvine, KY 40336"
Fleming County Health Department,Fleming,Flemingsburg,KY,41041,(606) 845-6511,https://flemingcountyhealthky.gov/,https://www.facebook.com/pages/Fleming-County-Health-Department/192051954138228?rf=883062048475027,,True,"194 Windsor Rd Flemingsburg, KY 41041"
Floyd County Health Department,Floyd,Prestonsburg,KY,41653,(606) 886-2788,https://fchdky.org/,https://www.facebook.com/FCHDKY/,,True,"283 Goble St Prestonsburg, KY 41653"
Franklin County Health Department,Franklin,Frankfort,KY,40601,(502) 564-4269,http://www.fchd.org,,,True,"100 Glenns Creek Rd Frankfort, KY 40601"
Fulton County Center - West,Fulton County Center - West,Hickman,KY,42050,(270) 236-2825,,,,True,"402 Troy Street Hickman, KY 42050"
Gallatin County Center,Gallatin,Warsaw,KY,41095,(859) 567-2844,https://trdhd.com/our-locations/,,,True,"102 West Pearl Street Warsaw, KY 41095"
Garrard County Health Department,Garrard,Lancaster,KY,40444,(859) 792-2153,https://www.garrardhealth.org/,,,True,"89 Farra Dr Lancaster, KY 40444"
Gateway District Health Department,Gateway,Owingsville,KY,40360,(606) 674-6396,https://www.gdhd.org/,https://www.facebook.com/pages/category/Government-Organization/Gateway-District-Health-Department-243815558979891/,,True,"PO Box 555 Owingsville, KY 40360"
Grant County Center,Grant,Williamstown,KY,41097,(859) 824-5074,https://nkyhealth.org/,,,True,"234 Barnes Road Williamstown, KY 41097"
Graves County Health Department,Graves,Mayfield,KY,42066,(270) 247-3553,https://www.gravescountyhealthdepartment.com/,,,True,"416 Central Ave Mayfield, KY 42066"
Grayson County Health Department,Grayson,Leitchfield,KY,42754,(270) 259-3141,https://www.graysoncountyhealth.org/,,,True,"124 E White Oak St Leitchfield, KY 42754"
Green County Center,Green,Greensburg,KY,42743,(270) 932-4341,https://www.lcdhd.org/locations/green-county/,,,True,"220 Industrial Park Greensburg, KY 42743"
Green River District Health Department,Green River,Owensboro,KY,42303,(270) 686-7747,http://www.healthdepartment.org,https://www.facebook.com/greenriver.district,https://twitter.com/GRDHD,True,"1501 Breckinridge Street Owensboro, KY 42303-0309"
Greenup County Health Department,Greenup,Greenup,KY,41144,(606) 473-9838,http://www.greenupchdky.gov,https://www.facebook.com/greenuphealth,https://twitter.com/greenuphealth,True,"PO Box 377 Greenup, KY 41144"
Hancock County Center,Hancock,Hawesville,KY,42348,(270) 927-8803,https://healthdepartment.org/location/hancock-county-health-center/,,,True,"175 Harrison St Hawesville, KY 42348"
Hardin County Center,Hardin,Elizabethtown,KY,42701,(270) 765-6196,https://ltdhd.org/contact/,,,True,"580 Westport Road Elizabethtown, KY 42701"
Harlan County Health Department,Harlan,Harlan,KY,40831,(606) 573-3700,https://www.harlanhealthdept.org/,,,True,"402 E Clover St Harlan, KY 40831"
Harrison County Center,Harrison,Cynthiana,KY,41031,(859) 234-2842,https://wedcohealth.org/clinic-services/,,,True,"364 Oddville Avenue Cynthiana, KY 41031"
Hart County Health Department,Hart,Munfordville,KY,42765,(270) 524-2511,https://www.barrenriverhealth.org/contact-us,,,True,"500 A.A. Whitman Lane Munfordville, KY 42765"
Henderson County Center,Henderson,Henderson,KY,42420,(270) 826-3951,https://healthdepartment.org/location/henderson-county-health-center/,,,True,"472 Klutey Park Plaza Henderson, KY 42420"
Hickman County Center,Hickman,Clinton,KY,42031,(270) 653-6110,,,,True,"370 S Washington Street Clinton, KY 42031"
Hopkins County Health Department,Hopkins,Madisonville,KY,42431,(270) 821-5242,https://www.hopkinscohealthdept.com/,,,True,"412 North Kentucky Avenue Madisonville, KY 42431"
Jackson County Center,Jackson,McKee,KY,40447,(606) 287-8421,https://jacksoncounty.ky.gov/Services/Pages/Departments.aspx,,,True,"Highway 421 South McKee, KY 40447"
Jessamine County Health Department,Jessamine,Nicholasville,KY,40356,(859) 885-4149,http://www.jessaminehealth.org,https://www.facebook.com/JCHDKY/,,True,"210 East Walnut Street Nicholasville, KY 40356"
Johnson County Health Department,Johnson,Paintsville,KY,41240,(606) 789-2590,https://johnsoncohealthdept.org/,https://www.facebook.com/JCHDKY/,,True,"630 James S. Trimble Blvd Paintsville, KY 41240"
Kenton Health Center,Kenton,Covington,KY,41014,(859) 431-3345,https://nkyhealth.org/ourlocations/,,,True,"2002 Madison Avenue Covington, KY 41014"
Kentucky River District Health Department,Kentucky River,Hazard,KY,41701,(606) 439-2361,https://www.krdhd.org/site/,,,True,"441 Gorman Hollow Road Hazard, KY 41701-2316"
Knott County Center,Knott,Hindman,KY,41822,(606) 785-3144,https://www.knottcountyhrc.com/,,,True,"880 West Main Street Hindman, KY 41822"
Knox County Health Department,Knox,Barbourville,KY,40906,(606) 546-3486,https://www.kchdky.org/,,,True,"261 Hospital Drive Barbourville, KY 40906"
Lake Cumberland District Health Department,Lake Cumberland,Somerset,KY,42502,(606) 678-4761,https://www.lcdhd.org/,,,True,"500 Bourne Avenue Somerset, KY 42502"
Larue County Center,Larue,Hodgenville,KY,42748,(270) 358-3844,https://ltdhd.org/contact/,,,True,"215 East Main Street Hodgenville, KY 42748"
Laurel County Health Department,Laurel,London,KY,40741,(606) 864-5187,http://www.laurelcohealthdept.org,,,True,"525 Whitley Street London, KY 40741"
Lawrence County Health Department,Lawrence,Louisa,KY,41230,(606) 638-4389,https://lawrencecountyhealthdepartment.com/,,,True,"1080 Meadowbrook Lane Louisa, KY 41230"
Lee County Health Center,Lee,Beattyville,KY,41311,(606) 464-2492,,https://www.facebook.com/p/Lee-County-Health-Center-100040407314279/,,True,"48 Center Street Beattyville, KY 41311"
Leslie County Center,Leslie,Hyden,KY,41749,(606) 672-2393,https://www.krdhd.org/site/locations/,,,True,"78 Maple Street Hyden, KY 41749"
Letcher County Health Department,Letcher,Whitesburg,KY,41858,(606) 633-2945,https://www.krdhd.org/site/locations/,,,True,"115 East Main Street Whitesburg, KY 41858"
Lewis County Health Department,Lewis,Vanceburg,KY,41179,(606) 796-2632,https://lewiscountykyhd.org/,,,True,"185 Commercial Drive Vanceburg, KY 41179"
Lexington-Fayette County Health Department,Lexington-Fayette,Lexington,KY,40508,(859) 234-8750,https://www.lfchd.org/home/,https://www.facebook.com/LFCHD,https://twitter.com/LFCHD,True,"650 Newtown Pike Lexington, KY 40508"
Lincoln County Health Department,Lincoln,Stanford,KY,40484,(606) 365-3106,https://lincolncountyhealth.org/,,,True,"44 Health Way Stanford, KY 40484"
Lincoln Trail District Health Department,Lincoln Trail,Elizabethtown,KY,42702,(270) 769-1601,https://ltdhd.org/,,,True,"108 New Glendale Road Elizabethtown, KY 42702-2609"
Livingston County Health Department,Livingston,Smithland,KY,42081,(270) 928-2193,https://pennyrilehealth.org/locations/,,,True,"124 State Street Smithland, KY 42081"
Logan County Health Department,Logan,Russellville,KY,42276,(270) 726-8341,https://www.barrenriverhealth.org/contact-us,,,True,"151 S Franklin St Russellville, KY 42276-1934"
Louisville Metro Department of Public Health and Wellness,Louisville Metro Department of Public Health and Wellness,Louisville,KY,40202,(502) 574-6520,https://louisvilleky.gov/government/health-wellness,https://www.facebook.com/LouMetroPublicHealth/,https://twitter.com/LouMetroHealth,True,"400 E Gray St Louisville, KY 40202"
Lyon County Health Department,Lyon,Eddyville,KY,42038,(270) 388-9763,https://pennyrilehealth.org/locations/,,,True,"211 W Fairview Ave Eddyville, KY 42038"
Madison County Health Department,Madison,Richmond,KY,40476,(859) 626-4241,https://madisoncountyhealthdept.org/,,,True,"216 Boggs Lane Richmond, KY 40476-1208"
Magoffin County Health Department,Magoffin,Salyersville,KY,41465,(606) 349-6212,,https://www.facebook.com/magoffincountyhealthdepartment,,True,"119 E Mountain Pkwy Salyersville, KY 41465"
Marion County Center,Marion,Lebanon,KY,40003,(270) 692-3393,https://ltdhd.org/contact/,,,True,"516 N. Spalding Ave. Lebanon, KY 40003"
Marshall County Health Department,Marshall,Benton,KY,42025,(270) 527-1496,http://Marshallcohealthdepartment.com,https://www.facebook.com/Marshall-County-Health-Department-159283764097998/,https://twitter.com/marshallhealth,True,"267 Slickback Rd Benton, KY 42025"
Martin County Health Department,Martin,Inez,KY,41224,(606) 298-7752,https://www.martincountyky.com/health-medical,,,True,"PO Box 346 Inez, KY 41224"
Mason County Center,Mason,Maysville,KY,41056,(606) 564-9447,https://www.buffalotracehealth.com/,,,True,"PO BOX 70 Maysville, KY 41056-0070"
McCreary County Center,McCreary,City,KY,42653,(606) 376-2412,https://www.lcdhd.org/locations/mccreary-county/,,,True,"119 Medical Lane Whitley City, KY 42653"
McLean County Center,McLean,Calhoun,KY,42327,(270) 273-3062,https://healthdepartment.org/location/mclean-county-health-center/,,,True,"200 Highway 81 North Suite 101 Calhoun, KY 42327"
Meade County Health Department,Meade,Brandenburg,KY,40108,(270) 422-3988,https://ltdhd.org/contact/,,,True,"520 Hillcrest Drive Brandenburg, KY 40108"
Menifee County Center,Menifee,Frenchburg,KY,40322,(606) 768-2151,,,,True,"1919 Main St Frenchburg, KY 40322"
Mercer County Health Department,Mercer,Harrodsburg,KY,40330,(859) 734-4522 (135),https://mercerkyhd.org/,https://www.facebook.com/Mercer-County-Health-Department-247353008642647/,,True,"900 College Street Harrodsburg, KY 40330"
Metcalfe County Health Department,Metcalfe,Edmonton,KY,42129,(270) 432-3214,https://www.barrenriverhealth.org/contact-us,,,True,"615 W Stockton St Edmonton, KY 42129"
Monroe County Health Department,Monroe,Tompkinsville,KY,42167,(270) 487-6782,https://www.monroecohealth.com/,,,True,"452 East 4th Street Tompkinsville, KY 42167"
Montgomery County Health Department,Montgomery,Sterling,KY,40353,(859) 498-3808,https://montgomerycountyhealth.com/,https://www.facebook.com/MontgomeryCountyHealth/,,True,"117 Civic Center Mt Sterling, KY 40353"
Morgan County Health Department,Morgan,Liberty,KY,41472,(606) 743-3744,https://www.morganhd.com/,,,True,"493 Riverside DR West Liberty, KY 41472"
Muhlenberg County Health Department,Muhlenberg,City,KY,42330,(270) 754-3200,https://www.muhlenbergcountyhealthdepartment.com/2018/,,,True,"P.O. Box 148 Central City, KY 42330"
Nelson County Center,Nelson,Bardstown,KY,40004,(502) 348-3222,https://ltdhd.org/contact/,,,True,"325 South Third Street Bardstown, KY 40004"
Nicholas County Center,Nicholas,Carlisle,KY,40311,(859) 289-2188,https://wedcohealth.org/,,,True,"2320 Concrete Road Carlisle, KY 40311"
North Central District Health Department,North Central,Shelbyville,KY,40065,(502) 633-1243,https://ncdhd.com/,,,True,"1020 Henry Clay Street Shelbyville, KY 40065"
Northern Kentucky Independent District Health Department,Northern Kentucky Independent,Florence,KY,41042,(859) 341-4264,http://www.nkyhealth.org,,,True,"8001 Veterans Memorial Drive Florence, KY 41042"
Ohio County Center,Ohio,Hartford,KY,42347,(270) 298-3663,https://healthdepartment.org/location/ohio-county-health-center/,,,True,"1336 Clay St Hartford, KY 42347-1637"
Oldham County Health Department,Oldham,LaGrange,KY,40031,(502) 222-3516,http://Oldhamcountyhealthdepartment.org,,,True,"1786 Commerce Parkway LaGrange, KY 40031"
Owen County Center,Owen,Owenton,KY,40359,(502) 484-5736,https://trdhd.com/our-locations/,,,True,"1005 Highway 22 East Owenton, KY 40359"
Owsley County Center,Owsley,Booneville,KY,41314,(606) 593-5181,https://www.krdhd.org/site/locations/,,,True,"501 Highway 28 Booneville, KY 41314"
Paducah - McCracken County Center,Paducah - McCracken,Paducah,KY,42002,(270) 444-9631,,,,True,"916 Kentucky Avenue Paducah, KY 42002-2597"
Pendleton County Center,Pendleton,Falmouth,KY,41040,(859) 654-6985,https://trdhd.com/our-locations/,,,True,"329 Highway 330 West Falmouth, KY 41040"
Pennyrile District Health Department,Pennyrile,Eddyville,KY,42038,(270) 388-9747,https://pennyrilehealth.org/,,,True,"208 Outlet Ave Eddyville, KY 42038-8222"
Perry County Health Center,Perry,Hazard,KY,41701,(606) 436-2196,https://www.krdhd.org/site/locations/,,,True,"239 Lovern Street Hazard, KY 41701"
Pike County Health Department,Pike,Pikeville,KY,41501,(606) 437-5500,https://www.pikecountyhealth.com/v4i/index.html,,,True,"119 River Drive Pikeville, KY 41501"
Powell County Health Department,Powell,Stanton,KY,40380,(606) 663-4360,https://powellcohd.org/,,,True,"376 North Main Street Stanton, KY 40380"
Pulaski County Center,Pulaski,Somerset,KY,42501,(606) 679-4416,https://www.lcdhd.org/locations/pulaski-county/,,,True,"45 Roberts Street Somerset, KY 42501"
Purchase District Health Department,Purchase,Paducah,KY,42002,(270) 444-9631,http://www.purchasehealth.org/,https://www.facebook.com/purchasedistricthealthdepartment/,,True,"916 Kentucky Avenue Paducah, KY 42002-2357"
Robertson County Center,Robertson,Olivet,KY,41064,(606) 724-5222,https://www.buffalotracehealth.com/,,,True,"45 Mcdowell Street Mount Olivet, KY 41064"
Rockcastle County Center,Rockcastle,Vernon,KY,40456,(606) 256-2242,https://cvdhealthdept.com/,,,True,"120 Richmond St Mount Vernon, KY 40456"
Rowan County Center,Rowan,Morehead,KY,40351,(606) 674-6396,,,,True,"730 West Main Street Morehead, KY 40351"
Russell County Center,Russell,Jamestown,KY,42629,(270) 343-2181,https://www.lcdhd.org/locations/russell-county/,,,True,"211 Fruit of the Loom Drive Jamestown, KY 42629"
Scott County Center,Scott,Georgetown,KY,40324,(502) 863-3971,https://wedcohealth.org/,,,True,"300 East Washington Street Georgetown, KY 40324"
Shelby County Health Department,Shelby,Shelbyville,KY,40065,(502) 633-1231,https://www.ncdhd.com/shelby-county-health-department,,,True,"615 11Th Street Shelbyville, KY 40065"
Simpson County Health Department,Simpson,Franklin,KY,42134,(270) 586-8261,https://www.barrenriverhealth.org/contact-us,,,True,"1131 S College St Franklin, KY 42134-2309"
Spencer County Center,Spencer,Taylorsville,KY,40071,(502) 477-8146,https://www.ncdhd.com/,,,True,"88 Spears Dr Taylorsville, KY 40071-6756"
Taylor County Center,Taylor,Campbellsville,KY,42718,(270) 465-4191,,,,True,"1880 N Bypass Road Campbellsville, KY 42718"
Three Rivers District Health Department,Three Rivers,Owenton,KY,40359,(502) 484-3412,http://www.trdhd.com,https://www.facebook.com/Three-Rivers-District-Health-Department-117172084961373/,https://twitter.com/TRDHD,True,"60 Old Monterey Rd Owenton, KY 40359"
Todd County Health Department,Todd,Elkton,KY,42220,(270) 265-2362,https://toddcounty.ky.gov/Pages/Local-Resources.aspx,https://www.facebook.com/ToddCountyHealthDepartment,https://twitter.com/WedcoHealth,True,"617 W Main St Elkton, KY 42220"
Trigg County Health Department,Trigg,Cadiz,KY,42211,(270) 522-8121,https://pennyrilehealth.org/locations/,,,True,"196 Main Street Cadiz, KY 42211"
Union County Center,Union,Morganfield,KY,42437,(270) 389-1230,https://healthdepartment.org/location/union-county-health-center/,,,True,"218 W Mcelroy ST Morganfield, KY 42437"
Washington County Center,Washington,Springfield,KY,40069,(859) 336-3989,https://ltdhd.org/contact/,,,True,"302 East Main Street Springfield, KY 40069"
Wayne County Center,Wayne,Monticello,KY,42633,(606) 348-9349,https://www.lcdhd.org/locations/wayne-county/,,,True,"39 Jim Hill Service Road Monticello, KY 42633"
Webster County Center,Webster,Dixon,KY,42409,(270) 639-9315,https://healthdepartment.org/location/webster-county-health-center/,,,True,"80 Clayton Avenue Dixon, KY 42409"
Wedco District Health Department,Wedco,Cynthiana,KY,41031,(859) 234-8750,http://www.wedcohealth.org,https://www.facebook.com/WedcoHealth/,https://twitter.com/WedcoHealth,True,"364 Oddville Ave Cynthiana, KY 41031-9472"
Whitley County Health Department,Whitley,Williamsburg,KY,40769,(606) 549-3380,https://whitleycountyhealthdepartment.com/,https://www.facebook.com/Whitley-County-Health-Department-266936440025123/,,True,"368 Penny Lane Williamsburg, KY 40769"
Wolfe County Center,Wolfe,Campton,KY,41301,(606) 668-3185,https://www.krdhd.org/site/locations/,,,True,"151 KY Hwy 15 N Campton, KY 41301"
Woodford County Health Department,Woodford,Versailles,KY,40383,(859) 873-4541,http://www.wchd.com,https://www.facebook.com/woodfordhd/,,True,"229 North Main Street Versailles, KY 40383"
Acadia Parish Health Unit,Acadia Parish,Crowley,LA,70526,(337) 788-7507,http://ldh.la.gov/index.cfm/directory/detail/4518/catid/338,https://www.facebook.com/pages/Acadia-Parish-Health-Unit-Church-Point/902739723140960,,True,"1029 Capitol Ave Crowley, LA 70526-3227"
Allen Parish Health Unit,Allen Parish,Oakdale,LA,71463,(318) 335-1147,http://ldh.la.gov/index.cfm/directory/detail/4781/catid/363,,,True,"PO BOX 1121 Oakdale, LA 71463-1121"
Ascension Parish Health Unit,Ascension Parish,Gonzales,LA,70737,(225) 474-2004,http://www.ascensionparish.net/health-unit/,,,True,"1024 E Ascension Complex Blvd Gonzales, LA 70737-4263"
Assumption Parish Health Unit,Assumption Parish,Napoleonville,LA,70390,(985) 369-6031,http://ldh.la.gov/index.cfm/directory/detail/4783/catid/338,,,True,"158 Highway 1008 Napoleonville, LA 70390-2009"
Avoyelles Parish Health Unit,Avoyelles Parish,Marksville,LA,71351,(318) 253-4528,http://ldh.la.gov/index.cfm/directory/detail/4638,,,True,"657 Government ST Marksville, LA 71351-2945"
Beauregard Parish Health Unit,Beauregard Parish,DeRidder,LA,70634,(337) 463-4486,http://ldh.la.gov/index.cfm/directory/detail/4786/catid/338,,,True,"P.O. Box 327 DeRidder, LA 70634"
Bienville Parish Health Unit,Bienville Parish,Arcadia,LA,71001,(318) 263-2125,http://ldh.la.gov/index.cfm/directory/detail/4787,,,True,"1285 Pine St Ste 102 Arcadia, LA 71001-3120"
Bossier Parish Health Unit,Bossier Parish,City,LA,71112,(318) 741-7314,http://ldh.la.gov/index.cfm/directory/detail/4788,https://www.facebook.com/pages/Bossier-Parish-Health-Unit/356821767672230?rf=1611620355759690,,True,"3022 Old Minden Rd Bossier City, LA 71112-2477"
Caddo Parish Health Unit,Caddo Parish,Shreveport,LA,71101,(318) 676-5222,http://ldh.la.gov/index.cfm/directory/detail/4789/catid/230,https://www.facebook.com/pages/category/Government-Organization/Caddo-Parish-Health-Unit-202261503134657/,,True,"1035 Creswell Ave Shreveport, LA 71101-3917"
Calcasieu Parish Health Unit,Calcasieu Parish,Charles,LA,70601,(337) 478-6020,http://ldh.la.gov/index.cfm/directory/detail/4790,https://www.facebook.com/pages/Calcasieu-Parish-Health-Unit/165242373502038,,True,"3236 Kirkman ST Lake Charles, LA 70601-8640"
Caldwell Parish Health Unit,Caldwell Parish,Columbia,LA,71418,(318) 649-2393,http://ldh.la.gov/index.cfm/directory/detail/4792/catid/231,,,True,"PO Box 720 Columbia, LA 71418-0720"
Cameron Parish Health Unit,Cameron Parish,Cameron,LA,70631,(337) 775-5368,http://ldh.la.gov/index.cfm/directory/detail/7513/catid/228,,,True,"107 Recreation Center Ln Cameron, LA 70631"
Catahoula Parish Health Unit,Catahoula Parish,Jonesville,LA,71343,(318) 339-7906,http://ldh.la.gov/index.cfm/directory/detail/7513/catid/228,,,True,"200 Third ST Jonesville, LA 71343-2342"
City of New Orleans Department of Health,City of New Orleans,Orleans,LA,70112,(504) 658-2518,https://www.nola.gov/health-department/,https://www.facebook.com/nolahealthdept/,,True,"1300 Perdido St Ste 8E18 New Orleans, LA 70112-2125"
Claiborne Parish Health Unit,Claiborne Parish,Homer,LA,71040,(318) 927-6127,http://ldh.la.gov/index.cfm/directory/detail/4794/catid/230,,,True,"624 W Main St Homer, LA 71040-3418"
Concordia Parish Health Unit,Concordia Parish,Ferriday,LA,71334,(318) 757-8632,http://ldh.la.gov/index.cfm/directory/detail/4856,,,True,"905 Mickey Gilley Ave Ferriday, LA 71334-2619"
Desoto Parish Health Unit,Desoto Parish,Mansfield,LA,71052,(318) 872-0472,http://ldh.la.gov/index.cfm/directory/detail/4796/catid/230,,,True,"113 Jefferson St Mansfield, LA 71052-2601"
East Baton Rouge Parish Health Unit,East Baton Rouge Parish,Rouge,LA,70802,(225) 242-4860,http://ldh.la.gov/index.cfm/directory/detail/4797/catid/225,,,True,"353 N 12Th St Baton Rouge, LA 70802-4612"
East Carroll Parish Health Unit,East Carroll Parish,Providence,LA,71254,(318) 559-2012,http://ldh.la.gov/index.cfm/directory/detail/4798/catid/231,,,True,"403 2Nd St Lake Providence, LA 71254-2605"
East Feliciana Parish Health Unit,East Feliciana Parish,Clinton,LA,70722,(225) 683-8551,http://ldh.la.gov/index.cfm/directory/detail/4854/catid/225,,,True,"PO BOX 227 Clinton, LA 70722-0227"
Evangeline Parish Health Unit,Evangeline Parish,Platte,LA,70586,(337) 363-1135,http://ldh.la.gov/index.cfm/directory/detail/4800/catid/227,,,True,"1010 W Lasalle St Ville Platte, LA 70586-3004"
Franklin Parish Health Unit,Franklin Parish,Winnsboro,LA,71295,(318) 435-2143,http://ldh.la.gov/index.cfm/directory/detail/4801/catid/231,,,True,"6614 Main St Winnsboro, LA 71295-2762"
Grant Parish Health Unit,Grant Parish,Colfax,LA,71417,(318) 627-3133,http://ldh.la.gov/index.cfm/directory/detail/4802,,,True,"340 Webb Smith Dr # A Colfax, LA 71417-1910"
Iberia Parish Health Unit,Iberia Parish,Iberia,LA,70560,(337) 373-0021,,,,True,"715 Weldon St Ste B New Iberia, LA 70560-4861"
Iberville Parish Health Unit,Iberville Parish,Plaquemine,LA,70764,(225) 687-9021,http://ldh.la.gov/index.cfm/directory/detail/4804/catid/225,,,True,"24705 Plaza Dr Plaquemine, LA 70764-6827"
Jackson Parish Health Unit,Jackson Parish,Jonesboro,LA,71251,(318) 259-6601,http://ldh.la.gov/index.cfm/directory/detail/4805/catid/231,,,True,"PO BOX 87 Jonesboro, LA 71251-0087"
Jefferson Davis Parish Health Unit,Jefferson Davis Parish,Jennings,LA,70546,(337) 824-2193,http://ldh.la.gov/index.cfm/directory/detail/4806,,,True,"PO BOX 317 Jennings, LA 70546-0317"
Jefferson Parish Health Unit,Jefferson Parish,Metairie,LA,70001,(504) 838-5100,http://ldh.la.gov/index.cfm/directory/detail/4643,,,True,"111 N Causeway Blvd Metairie, LA 70001-5450"
LDH/OPH Northeast LA Region 8,LDH/OPH Northeast LA Region 8,Monroe,LA,71201,(318) 361-7370,http://ldh.la.gov/,,,True,"1650 Desiard ST FL Second Monroe, LA 71201-7749"
Lafayette Parish Health Unit,Lafayette Parish,Lafayette,LA,70501,(337) 262-5616,http://ldh.la.gov/index.cfm/directory/detail/4807/catid/227,,,True,"220 W Willow St Bldg A Lafayette, LA 70501-2837"
Lafourche Parish Health Unit,Lafourche Parish,Thibodaux,LA,70301,(985) 447-0921,http://ldh.la.gov/index.cfm/directory/detail/4809,,,True,"2535 Veterans Blvd Thibodaux, LA 70301-4363"
Lasalle Parish Health Unit,Lasalle Parish,Jena,LA,71342,(318) 992-4842,http://ldh.la.gov/index.cfm/directory/detail/4810/catid/229,,,True,"1673 N. Second St. Jena, LA 71342"
Lincoln Parish Health Unit,Lincoln Parish,Ruston,LA,71270,(318) 251-4120,http://ldh.la.gov/index.cfm/directory/detail/4811/catid/231,,,True,"405 E Georgia Ave Ruston, LA 71270-3926"
Livingston Parish Health Unit,Livingston Parish,Livingston,LA,70754,(225) 686-7017,http://ldh.la.gov/index.cfm/directory/detail/4812,,,True,"PO BOX 365 Livingston, LA 70754-0365"
Madison Parish Health Unit,Madison Parish,Tallulah,LA,71282,(225) 686-7017,http://ldh.la.gov/index.cfm/directory/detail/8411,,,True,"123 Bailey St Tallulah, LA 71282-2831"
Morehouse Parish Health Unit,Morehouse Parish,Bastrop,LA,71220,(318) 283-0806,http://ldh.la.gov/index.cfm/directory/detail/4816,,,True,"650 School St Bastrop, LA 71220-5048"
Natchitoches Parish Health Unit,Natchitoches Parish,Natchitoches,LA,71457,(318) 357-3132,http://ldh.la.gov/index.cfm/directory/detail/8430,,,True,"625 Bienville Cir Natchitoches, LA 71457-5744"
Plaquemines Parish Health Department,Plaquemines Parish,Chasse,LA,70037,(504) 934-6690,https://www.plaqueminesparish.com/427/Health,,,True,"3706 Main St Belle Chasse, LA 70037-3002"
Pointe Coupee Parish Health Unit,Pointe Coupee Parish,Roads,LA,70760,(225) 638-7320,http://ldh.la.gov/index.cfm/directory/detail/4819,,,True,"282B Hospital Rd New Roads, LA 70760-2619"
Rapides Parish Health Unit,Rapides Parish,Alexandria,LA,71303,(318) 487-5282,http://ldh.la.gov/index.cfm/directory/detail/4658,,,True,"5604 Coliseum Blvd Ste A Alexandria, LA 71303-3993"
Red River Parish Health Unit,Red River Parish,Coushatta,LA,71019,(318) 676-7489,http://ldh.la.gov/index.cfm/directory/detail/4821,,,True,"2015 Red Oak Rd Coushatta, LA 71019"
Region 1 (Metro Regional Office),Region 1 (Metro Regional Office),Orleans,LA,70112,(504) 599-0105,http://ldh.la.gov/index.cfm/directory/detail/367,,,True,"1450 Poydras St Ste 1200 New Orleans, LA 70112-1227"
Region 2 (Capitol Regional Office),Region 2 (Capitol Regional Office),Rouge,LA,70821,(225) 242-4860,http://ldh.la.gov/index.cfm/directory/detail/368/catid/13,,,True,"PO BOX 2501 Baton Rouge, LA 70821-2501"
Region 3 (Office of Public Health),Region 3 (Office of Public Health),Thibodaux,LA,70301,(985) 449-4791,http://ldh.la.gov/index.cfm/directory/detail/369/catid/13,,,True,"1434 Tiger Dr Thibodaux, LA 70301-4337"
